n calls (143671010 primitive calls) in 165.255 seconds

Ordered by: cumulative time

ncalls  tottime  percall  cumtime  percall filename:lineno(function)
102    0.004    0.000    0.079    0.001 arrayprint.py:233(_array2string)
1    0.000    0.000    0.079    0.079 __init__.py:119(<module>)
68150    0.078    0.000    0.078    0.000 util.py:134(<listcomp>)
1    0.000    0.000    0.077    0.077 __init__.py:44(<module>)
1    0.000    0.000    0.077    0.077 pydoc.py:36(<module>)
1    0.000    0.000    0.077    0.077 __init__.py:48(<module>)
814/286    0.003    0.000    0.076    0.000 sre_parse.py:351(_parse_sub)
1    0.000    0.000    0.075    0.075 compat.py:5(<module>)
1013/320    0.024    0.000    0.075    0.000 sre_parse.py:429(_parse)
34486    0.040    0.000    0.074    0.000 category_explorer.py:142(__repr__)
18548    0.013    0.000    0.074    0.000 dbpedia.py:67(to_title)
1    0.000    0.000    0.074    0.074 __init__.py:65(<module>)
1    0.000    0.000    0.074    0.074 ticker.py:143(<module>)
1    0.000    0.000    0.070    0.070 eval.py:4(<module>)
68150    0.069    0.000    0.069    0.000 punkt.py:1318(<listcomp>)
1    0.000    0.000    0.069    0.069 stochastic_gradient.py:5(<module>)
104    0.000    0.000    0.068    0.001 category_explorer.py:67(candidate_nodes)
104    0.000    0.000    0.068    0.001 dictionary.py:70(items)
104    0.007    0.000    0.068    0.001 dictionary.py:72(<listcomp>)
1    0.000    0.000    0.066    0.066 downloader.py:68(<module>)
3807    0.066    0.000    0.066    0.000 {built-in method stat}
1    0.000    0.000    0.065    0.065 certs.py:13(<module>)
2    0.000    0.000    0.064    0.032 __init__.py:15(<module>)
34486    0.062    0.000    0.062    0.000 search_space.py:76(__init__)
95059    0.062    0.000    0.062    0.000 {built-in method unpack}
1    0.000    0.000    0.060    0.060 brill.py:11(<module>)
1    0.000    0.000    0.060    0.060 ops.py:5(<module>)
345377    0.060    0.000    0.060    0.000 features.py:34(name)
1    0.000    0.000    0.059    0.059 parsers.py:3(<module>)
1    0.000    0.000    0.058    0.058 __init__.py:2(<module>)
1    0.000    0.000    0.058    0.058 frequencies.py:1(<module>)
1    0.000    0.000    0.055    0.055 iterative.py:1(<module>)
1    0.000    0.000    0.055    0.055 zipfile.py:5(<module>)
16761    0.037    0.000    0.054    0.000 heapq.py:390(nsmallest)
2    0.000    0.000    0.052    0.026 interface.py:1(<module>)
302    0.001    0.000    0.052    0.000 category_explorer.py:370(goal_test)
1    0.000    0.000    0.051    0.051 expr.py:2(<module>)
1    0.000    0.000    0.051    0.051 __init__.py:24(<module>)
100    0.005    0.000    0.051    0.001 category_explorer.py:109(next)
3663    0.004    0.000    0.050    0.000 <frozen importlib._bootstrap>:68(_path_stat)
1    0.000    0.000    0.050    0.050 rcsetup.py:15(<module>)
34590    0.026    0.000    0.050    0.000 lookuptree.py:103(__iter__)
1    0.000    0.000    0.050    0.050 lil.py:2(<module>)
1    0.000    0.000    0.049    0.049 _minimize.py:8(<module>)
1    0.000    0.000    0.048    0.048 case.py:1(<module>)
3    0.000    0.000    0.047    0.016 base.py:3(<module>)
1    0.000    0.000    0.046    0.046 hashlib.py:53(<module>)
18548    0.013    0.000    0.046    0.000 dbpedia.py:49(uri_to_title)
1    0.000    0.000    0.046    0.046 pkg_resources.py:748(subscribe)
27    0.000    0.000    0.046    0.002 pkg_resources.py:2892(<lambda>)
283    0.001    0.000    0.046    0.000 sre_compile.py:445(_code)
27    0.000    0.000    0.046    0.002 pkg_resources.py:2412(activate)
1    0.000    0.000    0.044    0.044 __init__.py:1055(rc_params_from_file)
1    0.000    0.000    0.044    0.044 fitpack.py:23(<module>)
289352    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
4    0.042    0.011    0.042    0.011 {method 'read' of '_io.BufferedReader' objects}
207023    0.042    0.000    0.042    0.000 search_space.py:60(previous)
1    0.000    0.000    0.041    0.041 main.py:1(<module>)
29    0.000    0.000    0.041    0.001 pkg_resources.py:2407(_get_metadata)
1    0.000    0.000    0.041    0.041 memory.py:5(<module>)
1    0.000    0.000    0.041    0.041 inspect.py:27(<module>)
1    0.000    0.000    0.040    0.040 pkg_resources.py:1408(get_metadata_lines)
1    0.000    0.000    0.040    0.040 pkg_resources.py:1403(get_metadata)
1    0.021    0.021    0.040    0.040 pkg_resources.py:1511(_get)
1    0.018    0.018    0.040    0.040 __init__.py:988(_rc_params_in_file)
1    0.000    0.000    0.040    0.040 pickle.py:24(<module>)
1    0.000    0.000    0.040    0.040 lapack.py:201(<module>)
2    0.000    0.000    0.039    0.020 request.py:1(<module>)
1    0.000    0.000    0.039    0.039 __init__.py:19(<module>)
759    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap>:1099(create)
1    0.000    0.000    0.039    0.039 __init__.py:22(<module>)
119712    0.039    0.000    0.039    0.000 {built-in method iter}
1    0.000    0.000    0.038    0.038 gbq.py:1(<module>)
1    0.000    0.000    0.038    0.038 matfuncs.py:5(<module>)
8294    0.015    0.000    0.038    0.000 <frozen importlib._bootstrap>:50(_path_join)
3    0.038    0.013    0.038    0.013 {method 'readlines' of '_io._IOBase' objects}
1    0.000    0.000    0.038    0.038 _internal.py:6(<module>)
1    0.000    0.000    0.038    0.038 __init__.py:724(matplotlib_fname)
306    0.001    0.000    0.037    0.000 arrayprint.py:533(__init__)
1    0.000    0.000    0.037    0.037 __init__.py:615(_get_configdir)
1    0.000    0.000    0.037    0.037 __init__.py:580(_get_config_or_cache_dir)
1    0.000    0.000    0.037    0.037 __init__.py:220(_is_writable_dir)
1    0.000    0.000    0.037    0.037 __init__.py:88(<module>)
207519    0.037    0.000    0.037    0.000 category_explorer.py:60(size)
99    0.003    0.000    0.037    0.000 _distn_infrastructure.py:615(_construct_argparser)
140866    0.037    0.000    0.037    0.000 category_explorer.py:308(<genexpr>)
306    0.013    0.000    0.036    0.000 arrayprint.py:547(fillFormat)
1    0.000    0.000    0.036    0.036 func_inspect.py:3(<module>)
1    0.000    0.000    0.036    0.036 tempfile.py:476(TemporaryFile)
1    0.000    0.000    0.036    0.036 tempfile.py:191(_mkstemp_inner)
1    0.000    0.000    0.036    0.036 socket.py:45(<module>)
869    0.003    0.000    0.036    0.000 dictionary.py:15(assoc)
681    0.003    0.000    0.036    0.000 wikiapi.py:205(_compute_parents)
2    0.000    0.000    0.036    0.018 index.py:2(<module>)
150164    0.035    0.000    0.035    0.000 {method 'lower' of 'str' objects}
3    0.000    0.000    0.035    0.012 __init__.py:10(<module>)
1    0.000    0.000    0.034    0.034 extmath.py:3(<module>)
68150    0.034    0.000    0.034    0.000 util.py:125(<listcomp>)
681    0.002    0.000    0.034    0.000 wikiapi.py:211(_compute_children)
317    0.004    0.000    0.033    0.000 inspect.py:937(getfullargspec)
308    0.001    0.000    0.033    0.000 inspect.py:913(getargspec)
1    0.000    0.000    0.033    0.033 random.py:37(<module>)
1    0.000    0.000    0.033    0.033 transforms.py:30(<module>)
172634    0.032    0.000    0.032    0.000 category_explorer.py:106(node)
1815/283    0.012    0.000    0.032    0.000 sre_compile.py:33(_compile)
1    0.013    0.013    0.031    0.031 malt.py:8(<module>)
35071    0.031    0.000    0.031    0.000 _collections_abc.py:462(__init__)
759    0.008    0.000    0.031    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
172653    0.031    0.000    0.031    0.000 search_space.py:57(action)
1    0.030    0.030    0.030    0.030 {built-in method load}
1    0.000    0.000    0.030    0.030 config.py:49(<module>)
759    0.024    0.000    0.030    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
1    0.000    0.000    0.030    0.030 tz.py:6(<module>)
68150    0.028    0.000    0.029    0.000 punkt.py:286(period_context_re)
1    0.000    0.000    0.029    0.029 __init__.py:52(<module>)
1362    0.005    0.000    0.029    0.000 wikiapi.py:149(_get_related_topics)
12931    0.006    0.000    0.029    0.000 sre_parse.py:208(get)
1    0.000    0.000    0.028    0.028 util.py:28(_find_getch)
1    0.000    0.000    0.028    0.028 __init__.py:16(<module>)
102    0.003    0.000    0.028    0.000 arrayprint.py:465(_formatArray)
107380    0.028    0.000    0.028    0.000 {method 'add' of 'set' objects}
7    0.000    0.000    0.028    0.004 config.py:761(is_instance_factory)
1    0.000    0.000    0.028    0.028 _ode.py:39(<module>)
1    0.000    0.000    0.027    0.027 context.py:78(Semaphore)
1    0.000    0.000    0.027    0.027 offsets.py:1(<module>)
