         9617420 function calls (9313603 primitive calls) in 22.809 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 __init__.py:615(_get_configdir)
        1    0.000    0.000    0.027    0.027 __init__.py:580(_get_config_or_cache_dir)
        1    0.000    0.000    0.026    0.026 offsets.py:1(<module>)
        1    0.000    0.000    0.026    0.026 __init__.py:220(_is_writable_dir)
      103    0.002    0.000    0.026    0.000 arrayprint.py:465(_formatArray)
        1    0.000    0.000    0.026    0.026 dis.py:1(<module>)
        1    0.000    0.000    0.026    0.026 discourse.py:44(<module>)
   143916    0.026    0.000    0.026    0.000 search_space.py:60(previous)
        1    0.000    0.000    0.026    0.026 packers.py:4(<module>)
        1    0.000    0.000    0.026    0.026 tempfile.py:476(TemporaryFile)
        1    0.000    0.000    0.026    0.026 pytables.py:4(<module>)
        1    0.000    0.000    0.026    0.026 tempfile.py:191(_mkstemp_inner)
        1    0.000    0.000    0.026    0.026 decimal.py:113(<module>)
    23029    0.004    0.000    0.026    0.000 {built-in method next}
       30    0.001    0.000    0.026    0.001 __init__.py:297(namedtuple)
    13693    0.023    0.000    0.025    0.000 sre_parse.py:183(__next)
     1076    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap>:261(__enter__)
      280    0.003    0.000    0.025    0.000 arraysetops.py:96(unique)
        2    0.000    0.000    0.025    0.012 __init__.py:361(__getattr__)
        1    0.000    0.000    0.024    0.024 learning_search.py:406(__init__)
        2    0.024    0.012    0.024    0.012 __init__.py:368(__getitem__)
       40    0.007    0.000    0.024    0.001 metrics.py:1499(_prf_divide)
       30    0.000    0.000    0.024    0.001 metrics.py:82(_check_clf_targets)
      100    0.001    0.000    0.024    0.000 multiclass.py:229(type_of_target)
        1    0.000    0.000    0.024    0.024 datetime.py:5(<module>)
  614/317    0.002    0.000    0.024    0.000 inspect.py:1889(_signature_internal)
        1    0.000    0.000    0.023    0.023 polynomial.py:4(<module>)
        2    0.000    0.000    0.023    0.012 api.py:12(<module>)
   144412    0.023    0.000    0.023    0.000 category_explorer.py:60(size)
       10    0.000    0.000    0.023    0.002 metrics.py:1239(accuracy_score)
        1    0.000    0.000    0.023    0.023 ransac.py:7(<module>)
       27    0.023    0.001    0.023    0.001 {built-in method empty}
    98416    0.023    0.000    0.023    0.000 category_explorer.py:308(<genexpr>)
        1    0.000    0.000    0.023    0.023 tarfile.py:30(<module>)
        1    0.000    0.000    0.023    0.023 supervised.py:5(<module>)
      721    0.010    0.000    0.022    0.000 arrayprint.py:598(__call__)
        1    0.000    0.000    0.022    0.022 topics.py:1039(default_data)
        1    0.000    0.000    0.022    0.022 topics.py:991(read_ground_truth_data)
        1    0.001    0.001    0.022    0.022 topics.py:758(read_topic_labels)
        1    0.000    0.000    0.022    0.022 flinalg.py:5(<module>)
     1184    0.004    0.000    0.021    0.000 wikiapi.py:149(_get_related_topics)
     2565    0.002    0.000    0.021    0.000 {method 'encode' of 'str' objects}
     2375    0.003    0.000    0.021    0.000 fromnumeric.py:1764(any)
        1    0.000    0.000    0.021    0.021 extmath.py:3(<module>)
        2    0.021    0.010    0.021    0.011 __init__.py:974(_open_file_or_url)
        7    0.000    0.000    0.021    0.003 contextlib.py:63(__exit__)
        1    0.000    0.000    0.021    0.021 probability.py:39(<module>)
    18045    0.015    0.000    0.021    0.000 dbpedia.py:39(strip_dbpedia_prefix)
      317    0.005    0.000    0.021    0.000 inspect.py:2373(from_function)
     1518    0.007    0.000    0.021    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
