         132940896 function calls (127617902 primitive calls) in 109.848 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1779    0.007    0.000    0.088    0.000 wikiapi.py:205(_compute_parents)
     5125    0.007    0.000    0.008    0.000 numeric.py:2809(__init__)
 2421/992    0.007    0.000    0.008    0.000 sre_parse.py:140(getwidth)
     1906    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:192(acquire)
     1600    0.006    0.000    0.006    0.000 {method 'sort' of 'numpy.ndarray' objects}
     1508    0.006    0.000    0.006    0.000 {method 'compress' of 'numpy.ndarray' objects}
     3732    0.006    0.000    0.040    0.000 fromnumeric.py:1764(any)
     1906    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:217(release)
     3514    0.006    0.000    0.008    0.000 arrayprint.py:457(_extendLine)
     1890    0.006    0.000    0.012    0.000 abc.py:178(__instancecheck__)
      759    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
     1092    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x1017560f0}
    878/2    0.006    0.000    1.071    0.536 <frozen importlib._bootstrap>:1186(_load_unlocked)
     1518    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
     5491    0.006    0.000    0.014    0.000 numeric.py:464(asanyarray)
    11872    0.005    0.000    0.024    0.000 sre_parse.py:208(get)
     7313    0.005    0.000    0.006    0.000 {method 'encode' of 'str' objects}
     1779    0.005    0.000    0.071    0.000 wikiapi.py:211(_compute_children)
     1014    0.005    0.000    0.113    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
     8566    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
     1506    0.005    0.000    0.172    0.000 arrayprint.py:533(__init__)
      500    0.005    0.000    0.028    0.000 multiclass.py:229(type_of_target)
      317    0.005    0.000    0.020    0.000 inspect.py:2373(from_function)
     7091    0.005    0.000    0.008    0.000 sre_parse.py:130(__getitem__)
     4200    0.005    0.000    0.008    0.000 dbpedia.py:54(title_to_uri)
      502    0.005    0.000    0.363    0.001 arrayprint.py:343(array2string)
    20504    0.005    0.000    0.005    0.000 {built-in method geterrobj}
